year,group,share
2016,bottom90,0.22497606277465831
2017,bottom90,0.22631959393719514
2018,bottom90,0.22452525063783768
2019,bottom90,0.22673283417605505
1917,top01,0.22418966720627653
1918,top01,0.1789130534807324
1919,top01,0.18586647543609647
1920,top01,0.14823032200350997
1921,top01,0.15697197346277048
1922,top01,0.17906457444959215
1923,top01,0.15380681795052506
1924,top01,0.1665934536006668
1925,top01,0.18346422639825008
1926,top01,0.19670300419875877
1927,top01,0.21338417327142178
1928,top01,0.2400622608343495
1929,top01,0.24890518185368884
1930,top01,0.20015056575841034
1931,top01,0.16642131377540145
1932,top01,0.17302006941200737
1933,top01,0.19124180037303667
1934,top01,0.18908005157912486
1935,top01,0.18766678742053308
1936,top01,0.19316556860655518
1937,top01,0.19402231816139548
1938,top01,0.17280156544219238
1939,top01,0.1729476968044607
1940,top01,0.1583257037908087
1941,top01,0.1379786718924093
1942,top01,0.13217601949782976
1943,top01,0.12692106185363716
1944,top01,0.11471496648646842
1945,top01,0.11268053849621522
1946,top01,0.10537846225611405
1947,top01,0.1046739191020308
1948,top01,0.10355412132955275
1949,top01,0.10074787940833727
1950,top01,0.10595487369965867
1951,top01,0.10035991997089218
1952,top01,0.0990485418117154
1953,top01,0.09379751936204932
1954,top01,0.09612871083764284
1955,top01,0.09983566559649086
1956,top01,0.10087039823822289
1957,top01,0.09857175557077845
1958,top01,0.09633652768135997
1959,top01,0.09818129728805507
1960,top01,0.1015734240967838
1961,top01,0.10338848390617858
1962,top01,0.10192418098449707
1963,top01,0.10109520331025125
1964,top01,0.10026622563600543
1965,top01,0.1018938943743706
1966,top01,0.10352156311273578
1967,top01,0.10327960923314097
1968,top01,0.1063052685931325
1969,top01,0.10166100715287033
1970,top01,0.09747947828145699
1971,top01,0.09627352860115934
1972,top01,0.09331990270948155
1973,top01,0.08681177407288487
1974,top01,0.08159294180518371
1975,top01,0.07817438853891191
1976,top01,0.07528091933109235
1977,top01,0.07430136195266712
1978,top01,0.07492524010798451
1979,top01,0.08154653012752532
1980,top01,0.08279250562191011
1981,top01,0.08827703446149826
1982,top01,0.09633039683103561
1983,top01,0.09625582396984099
1984,top01,0.09828936308622359
1985,top01,0.10356242209672928
1986,top01,0.10176834464073181
1987,top01,0.11584458500146867
1988,top01,0.1299659162759781
1989,top01,0.12974572181701657
1990,top01,0.1294616609811783
1991,top01,0.12555979192256927
1992,top01,0.13316334784030914
1993,top01,0.13303203880786896
1994,top01,0.13280946016311646
1995,top01,0.13485760986804962
1996,top01,0.14094200730323792
1997,top01,0.1495963335037232
1998,top01,0.15714603662490845
1999,top01,0.16162079572677612
2000,top01,0.16936324536800382
2001,top01,0.16464076936244967
2002,top01,0.1587504595518112
2003,top01,0.15929670631885529
2004,top01,0.16252551972866058
2005,top01,0.16787512600421908
2006,top01,0.17179533839225766
2007,top01,0.17943881452083588
2008,top01,0.18309898674488068
2009,top01,0.17154845595359805
2010,top01,0.18165926635265353
2011,top01,0.19089266657829287
2012,top01,0.20097489655017853
2013,top01,0.19547176361083984
2014,top01,0.19815972447395327
2015,top01,0.2001360207796097
2016,top01,0.19789105653762817
2017,top01,0.1954077780246735
2018,top01,0.1935639679431915
2019,top01,0.19216524064540863
